persona_id,persona_name,question_category,brand,similarity
P1,Jordan,evaluation_trust,SOCi,0.5149431228637695
P1,Jordan,evaluation_trust,Scorpion,0.5319839715957642
P1,Jordan,evaluation_trust,SmartBug Media,0.609656810760498
P1,Jordan,evaluation_trust,Wonderist Agency,0.5092387199401855
P1,Jordan,strategic_planning,BrandMuscle,0.45441603660583496
P1,Jordan,strategic_planning,Cardinal Digital Marketing,0.5717927813529968
P1,Jordan,strategic_planning,Curious Jane,0.5117149949073792
P1,Jordan,strategic_planning,Directive Consulting,0.6725444197654724
P1,Jordan,strategic_planning,Firegang Dental Marketing,0.35332775115966797
P1,Jordan,strategic_planning,Franchise FastLane,0.3993348777294159
P1,Jordan,strategic_planning,Franchise Performance Group,0.5293927192687988
P1,Jordan,strategic_planning,Great Dental Websites,0.4541189968585968
P1,Jordan,strategic_planning,KickStart Dental Marketing,0.4946151673793793
P1,Jordan,strategic_planning,Location3,0.5665305852890015
P1,Jordan,strategic_planning,NoGood,0.5959768295288086
P1,Jordan,strategic_planning,Pain-Free Dental Marketing,0.540212869644165
P1,Jordan,strategic_planning,Powered by Search,0.7575430870056152
P1,Jordan,strategic_planning,Refine Labs,0.6143351197242737
P1,Jordan,strategic_planning,SOCi,0.5127451419830322
P1,Jordan,strategic_planning,Scorpion,0.5300992131233215
P1,Jordan,strategic_planning,SmartBug Media,0.6114896535873413
P1,Jordan,strategic_planning,Wonderist Agency,0.5014504790306091
P2,Sandra,agency_discovery,BrandMuscle,0.49497804045677185
P2,Sandra,agency_discovery,Cardinal Digital Marketing,0.5906306505203247
P2,Sandra,agency_discovery,Curious Jane,0.5425928831100464
P2,Sandra,agency_discovery,Directive Consulting,0.6541768312454224
P2,Sandra,agency_discovery,Firegang Dental Marketing,0.396736741065979
P2,Sandra,agency_discovery,Franchise FastLane,0.4061856269836426
P2,Sandra,agency_discovery,Franchise Performance Group,0.521728515625
P2,Sandra,agency_discovery,Great Dental Websites,0.494691401720047
P2,Sandra,agency_discovery,KickStart Dental Marketing,0.5102455019950867
P2,Sandra,agency_discovery,Location3,0.5939316749572754
P2,Sandra,agency_discovery,NoGood,0.5889540314674377
P2,Sandra,agency_discovery,Pain-Free Dental Marketing,0.5639121532440186
P2,Sandra,agency_discovery,Powered by Search,0.6910973787307739
P2,Sandra,agency_discovery,Refine Labs,0.5891959071159363
P2,Sandra,agency_discovery,SOCi,0.5195025205612183
P2,Sandra,agency_discovery,Scorpion,0.5429003238677979
P2,Sandra,agency_discovery,SmartBug Media,0.6323087811470032
P2,Sandra,agency_discovery,Wonderist Agency,0.5421154499053955
P2,Sandra,capability_fit,BrandMuscle,0.5054895877838135
P2,Sandra,capability_fit,Cardinal Digital Marketing,0.6106213927268982
P2,Sandra,capability_fit,Curious Jane,0.576533317565918
P2,Sandra,capability_fit,Directive Consulting,0.676077127456665
P2,Sandra,capability_fit,Firegang Dental Marketing,0.4264066219329834
P2,Sandra,capability_fit,Franchise FastLane,0.4345087707042694
P2,Sandra,capability_fit,Franchise Performance Group,0.5611177682876587
P2,Sandra,capability_fit,Great Dental Websites,0.5107172727584839
P2,Sandra,capability_fit,KickStart Dental Marketing,0.5289980173110962
P2,Sandra,capability_fit,Location3,0.6511953473091125
P2,Sandra,capability_fit,NoGood,0.6211761832237244
P2,Sandra,capability_fit,Pain-Free Dental Marketing,0.5767955780029297
P2,Sandra,capability_fit,Powered by Search,0.7057462334632874
P2,Sandra,capability_fit,Refine Labs,0.5972954630851746
P2,Sandra,capability_fit,SOCi,0.5484219193458557
P2,Sandra,capability_fit,Scorpion,0.5758658647537231
P2,Sandra,capability_fit,SmartBug Media,0.6247063279151917
P2,Sandra,capability_fit,Wonderist Agency,0.5525166392326355
P2,Sandra,comparative_evaluative,BrandMuscle,0.48840880393981934
